CIDADE;QUANTIDADE_CRIMES;QUANTIDADE_POPULACAO;CRIMES_POR_100K
Jaborandi;5;6174;81.0
Euclides da Cunha Paulista;5;7760;64.0
Avaí;5;4441;113.0
Santa Fé do Sul;5;35146;14.0
Santa Adélia;5;13972;36.0
Cândido Rodrigues;5;2916;171.0
Aparecida d'Oeste;5;4038;124.0
Borebi;5;2741;182.0
Gastão Vidigal;5;3152;159.0
4123824.0;5;0;inf
Presidente Alves;5;3770;133.0
Irapuru;4;7011;57.0
Pedranópolis;4;2803;143.0
Braúna;4;5361;75.0
Iporanga;4;4028;99.0
Mirassolândia;4;4687;85.0
Santa Cruz do Rio Pardo;4;46539;9.0
Ribeirão Corrente;4;4618;87.0
Nipoã;4;4761;84.0
Buritizal;4;4359;92.0
Álvares Florence;4;3909;102.0
Populina;4;4116;97.0
Coronel Macedo;4;4202;95.0
Trabiju;4;1693;236.0
Ubirajara;4;5177;77.0
Taquaral;4;2607;153.0
Lupércio;4;3935;102.0
Marinópolis;4;1834;218.0
Areiópolis;4;10086;40.0
Magda;4;3154;127.0
Macedônia;4;3987;100.0
Silveiras;3;6213;48.0
Turmalina;3;1640;183.0
Mesópolis;3;1947;154.0
Arandu;3;6935;43.0
Dolcinópolis;3;2215;135.0
Brejo Alegre;3;2563;117.0
Riversul;3;5546;54.0
Lourdes;3;1916;157.0
Nova Campina;3;8484;35.0
Lindóia;3;17937;17.0
Bento de Abreu;3;2598;115.0
Jumirim;3;3072;98.0
São João de Iracema;3;1849;162.0
Quintana;3;7127;42.0
Santo Anastácio;3;17738;17.0
Sarutaiá;3;3711;81.0
Paranapuã;3;4044;74.0
Marabá Paulista;3;4549;66.0
Tejupá;3;4047;74.0
3548302.0;3;0;inf
Itapura;3;3939;76.0
Nova Independência;3;4718;64.0
Santa Rosa de Viterbo;3;23310;13.0
Flórida Paulista;3;12926;23.0
Murutinga do Sul;3;3695;81.0
São Pedro do Turvo;3;7213;42.0
Bom Sucesso de Itararé;3;3549;85.0
Barbosa;3;5544;54.0
Queiroz;3;3305;91.0
Neves Paulista;3;9740;31.0
Lavínia;3;9747;31.0
3515103.0;2;0;inf
Ribeira;2;3103;64.0
Campos Novos Paulista;2;4890;41.0
Anhumas;2;4031;50.0
Fernão;2;1663;120.0
Estrela do Norte;2;2693;74.0
São João das Duas Pontes;2;2574;78.0
Alto Alegre;2;3799;53.0
3543238.0;2;0;inf
Ouro Verde;2;7762;26.0
3546256.0;2;0;inf
Marapoama;2;3334;60.0
Timburi;2;2450;82.0
Itapirapuã Paulista;2;4338;46.0
Flora Rica;2;1463;137.0
Santa Maria da Serra;2;5205;38.0
Cássia dos Coqueiros;2;2797;72.0
Sandovalina;2;3627;55.0
Álvaro de Carvalho;2;4819;42.0
Santa Branca;2;13956;14.0
Santo Antônio do Jardim;2;6132;33.0
Itaju;2;3650;55.0
São José do Barreiro;2;3836;52.0
Piacatu;2;5530;36.0
Nova Luzitânia;2;2771;72.0
Dirce Reis;2;1610;124.0
Irapuã;2;6830;29.0
Areias;2;3556;56.0
Santa Lúcia;2;7049;28.0
Nantes;2;2646;76.0
Caiuá;2;5492;36.0
Mariápolis;2;3483;57.0
Caiabu;2;3675;54.0
Itaoca;2;3437;58.0
Turiúba;1;1806;55.0
Balbinos;1;3904;26.0
Monções;1;1908;52.0
Santa Salete;1;1651;61.0
Santópolis do Aguapeí;1;3868;26.0
Gabriel Monteiro;1;2764;36.0
Borá;1;902;111.0
São Francisco;1;2582;39.0
Nova Canaã Paulista;1;2019;50.0
Emilianópolis;1;3010;33.0
Cabrália Paulista;1;4282;23.0
Sagres;1;2473;40.0
Óleo;1;2490;40.0
Nova Castilho;1;1052;95.0
Embaúba;1;2312;43.0
Rubinéia;1;3887;26.0
Santa Cruz da Conceição;1;4288;23.0
Arapeí;1;2306;43.0
Pontes Gestal;1;2375;42.0
Taciba;1;6317;16.0
