CIDADE,QUANTIDADE_CRIMES,QUANTIDADE_POPULACAO,CRIMES_POR_100K,IDMH,cod_ibge,cod_ra,reg_administrativa,reg_metropolitanas,ideb2019
Fernão,2,1663,120.0,0.7,3515657,692,RA de Marília,Demais municípios,5.5
Estrela do Norte,2,2693,74.0,0.74,3515301,691,RA de Presidente Prudente,Demais municípios,4.5
São João das Duas Pontes,2,2574,78.0,0.72,3549201,689,RA de São José do Rio Preto,Demais municípios,0.0
Alto Alegre,2,3799,53.0,0.7,3501103,690,RA de Araçatuba,Demais municípios,4.0
Ouro Verde,2,7762,26.0,0.69,3534807,691,RA de Presidente Prudente,Demais municípios,4.7
Marapoama,2,3334,60.0,0.75,3528858,689,RA de São José do Rio Preto,Demais municípios,4.2
Timburi,2,2450,82.0,0.71,3554607,692,RA de Marília,Demais municípios,4.6
Itapirapuã Paulista,2,4338,46.0,0.66,3522653,696,RA de Itapeva,Demais municípios,4.4
Flora Rica,2,1463,137.0,0.72,3515806,691,RA de Presidente Prudente,Demais municípios,4.4
Santa Maria da Serra,2,5205,38.0,0.68,3547007,686,RA de Campinas,RM de Piracicaba,4.5
Cássia dos Coqueiros,2,2797,72.0,0.73,3510906,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.9
Sandovalina,2,3627,55.0,0.7,3545506,691,RA de Presidente Prudente,Demais municípios,4.3
Álvaro de Carvalho,2,4819,42.0,0.68,3501400,692,RA de Marília,Demais municípios,0.0
Santa Branca,2,13956,14.0,0.73,3546009,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,3.9
Santo Antonio do Jardim,2,6132,33.0,0.71,3548104,686,RA de Campinas,Demais municípios,5.0
Itaju,2,3650,55.0,0.7,3522000,688,RA de Bauru,Demais municípios,4.5
São José do Barreiro,2,3836,52.0,0.68,3549607,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.0
Piacatu,2,5530,36.0,0.73,3537701,690,RA de Araçatuba,Demais municípios,0.0
Nova Luzitânia,2,2771,72.0,0.74,3533304,690,RA de Araçatuba,Demais municípios,5.0
Dirce Reis,2,1610,124.0,0.74,3513850,689,RA de São José do Rio Preto,Demais municípios,4.9
Irapuã,2,6830,29.0,0.71,3521507,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.6
Areias,2,3556,56.0,0.69,3503505,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.4
Santa Lucia,2,7049,28.0,0.73,3546900,693,RA Central,Demais municípios,0.0
Nantes,2,2646,76.0,0.71,3532157,691,RA de Presidente Prudente,Demais municípios,0.0
Caiuá,2,5492,36.0,0.69,3509106,691,RA de Presidente Prudente,Demais municípios,4.6
Mariápolis,2,3483,57.0,0.71,3528908,691,RA de Presidente Prudente,Demais municípios,0.0
Caiabu,2,3675,54.0,0.72,3508900,691,RA de Presidente Prudente,Demais municípios,4.4
Itaóca,2,3437,58.0,0.68,3522158,696,RA de Itapeva,Demais municípios,4.4
Turiúba,1,1806,55.0,0.75,3555208,690,RA de Araçatuba,Demais municípios,4.9
Balbinos,1,3904,26.0,0.66,3504701,688,RA de Bauru,Demais municípios,5.0
Monções,1,1908,52.0,0.77,3531001,689,RA de São José do Rio Preto,Demais municípios,4.8
Santa Salete,1,1651,61.0,0.77,3547650,689,RA de São José do Rio Preto,Demais municípios,5.7
Santópolis do Aguapeí,1,3868,26.0,0.74,3548401,690,RA de Araçatuba,Demais municípios,4.5
Gabriel Monteiro,1,2764,36.0,0.76,3516507,690,RA de Araçatuba,Demais municípios,0.0
Borá,1,902,111.0,0.74,3507209,692,RA de Marília,Demais municípios,0.0
São Francisco,1,2582,39.0,0.72,3549003,689,RA de São José do Rio Preto,Demais municípios,5.2
Nova Canaã Paulista,1,2019,50.0,0.71,3532843,689,RA de São José do Rio Preto,Demais municípios,4.5
Emilianópolis,1,3010,33.0,0.72,3515129,691,RA de Presidente Prudente,Demais municípios,0.0
Cabrália Paulista,1,4282,23.0,0.69,3508306,688,RA de Bauru,Demais municípios,4.6
Sagres,1,2473,40.0,0.73,3544707,691,RA de Presidente Prudente,Demais municípios,3.7
Óleo,1,2490,40.0,0.73,3533809,692,RA de Marília,Demais municípios,4.8
Nova Castilho,1,1052,95.0,0.75,3532868,690,RA de Araçatuba,Demais municípios,0.0
Embaúba,1,2312,43.0,0.73,3514957,694,RA de Barretos,Demais municípios,4.6
Rubinéia,1,3887,26.0,0.75,3544509,689,RA de São José do Rio Preto,Demais municípios,5.0
Santa Cruz da Conceição,1,4288,23.0,0.79,3546207,686,RA de Campinas,RM de Piracicaba,3.9
Arapeí,1,2306,43.0,0.68,3503158,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,2.6
Pontes Gestal,1,2375,42.0,0.73,3540309,689,RA de São José do Rio Preto,Demais municípios,3.9
Taciba,1,6317,16.0,0.72,3552908,691,RA de Presidente Prudente,Demais municípios,5.0
Santo Antonio da Alegria,1,6805,15.0,0.7,3547908,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.2
Piquerobi,1,3247,31.0,0.71,3538303,691,RA de Presidente Prudente,Demais municípios,4.7
João Ramalho,1,4365,23.0,0.74,3525607,692,RA de Marília,Demais municípios,4.6
Alvinlândia,1,2862,35.0,0.72,3501509,692,RA de Marília,Demais municípios,0.0
Zacarias,1,2714,37.0,0.72,3557154,689,RA de São José do Rio Preto,RM São José do Rio Preto,0.0
Oscar Bressane,1,2447,41.0,0.74,3534500,692,RA de Marília,Demais municípios,4.9
Ribeirão Grande,1,7422,13.0,0.7,3543253,696,RA de Itapeva,Demais municípios,4.5
Uru,1,1394,72.0,0.71,3555901,688,RA de Bauru,Demais municípios,0.0
Platina,1,3009,33.0,0.71,3539707,692,RA de Marília,Demais municípios,0.0
Pedrinhas Paulista,1,2791,36.0,0.77,3537156,692,RA de Marília,Demais municípios,4.6
São João do Pau d'Alho,1,2248,44.0,0.75,3549300,691,RA de Presidente Prudente,Demais municípios,5.0
Pracinha,1,2565,39.0,0.69,3540853,691,RA de Presidente Prudente,Demais municípios,0.0
