CIDADE,QUANTIDADE_CRIMES,QUANTIDADE_POPULACAO,CRIMES_POR_100K,IDMH,cod_ibge,cod_ra,reg_administrativa,reg_metropolitanas,ideb2019
Jales,191,48835,391.0,0.77,3524808,689,RA de São José do Rio Preto,Demais municípios,5.0
Fernandópolis,190,71620,265.0,0.79,3515509,689,RA de São José do Rio Preto,Demais municípios,4.9
Penápolis,188,61805,304.0,0.75,3537305,690,RA de Araçatuba,Demais municípios,4.6
Porto Ferreira,187,52584,356.0,0.75,3540705,693,RA Central,Demais municípios,4.3
Guararema,186,31576,589.0,0.73,3518305,681,RM  de São Paulo,RM de Sao Paulo,4.3
São João da Boa Vista,180,93161,193.0,0.79,3549102,686,RA de Campinas,Demais municípios,4.6
Juquitiba,179,27189,658.0,0.7,3526209,681,RM  de São Paulo,RM de Sao Paulo,4.7
Serrana,177,44258,400.0,0.72,3551504,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.0
Aparecida,173,32272,536.0,0.75,3502507,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.7
Araçariguama,172,21856,787.0,0.7,3502754,685,RA de Sorocaba,RM de Sorocaba,4.6
Garça,169,41973,403.0,0.76,3516705,692,RA de Marília,Demais municípios,4.3
Porto Feliz,167,56952,293.0,0.75,3540606,685,RA de Sorocaba,RM de Sorocaba,4.4
Tietê,163,23025,708.0,0.77,3554508,685,RA de Sorocaba,RM de Sorocaba,4.9
Cabreúva,163,47414,344.0,0.73,3508405,686,RA de Campinas,RM de Jundiai,4.9
Taquaritinga,162,51984,312.0,0.74,3553708,693,RA Central,Demais municípios,4.5
Amparo,154,68015,226.0,0.78,3501905,686,RA de Campinas,Demais municípios,5.3
Araçoiaba da Serra,154,32826,469.0,0.77,3502903,685,RA de Sorocaba,RM de Sorocaba,4.3
Mairinque,153,50394,304.0,0.74,3528403,685,RA de Sorocaba,RM de Sorocaba,5.0
Olímpia,152,55405,274.0,0.77,3533908,694,RA de Barretos,RM São José do Rio Preto,4.8
Mirassol,150,64011,234.0,0.76,3530300,689,RA de São José do Rio Preto,RM São José do Rio Preto,5.0
Pedreira,149,43194,345.0,0.76,3537107,686,RA de Campinas,RM de Campinas,4.3
Rio Grande da Serra,147,44032,334.0,0.74,3544103,681,RM  de São Paulo,RM de Sao Paulo,4.4
Miguelópolis,145,19292,752.0,0.74,3529708,695,RA de Franca,Demais municípios,4.5
Vargem Grande do Sul,145,40129,361.0,0.73,3556404,686,RA de Campinas,Demais municípios,4.6
Itápolis,140,39355,356.0,0.74,3522703,693,RA Central,Demais municípios,4.7
São Joaquim da Barra,140,48674,288.0,0.76,3549409,695,RA de Franca,Demais municípios,4.4
Salto de Pirapora,139,43969,316.0,0.72,3545308,685,RA de Sorocaba,RM de Sorocaba,4.5
Tupã,134,63841,210.0,0.77,3555000,692,RA de Marília,Demais municípios,4.5
Itararé,133,3549,3748.0,0.7,3523206,696,RA de Itapeva,Demais municípios,4.8
Capão Bonito,133,46264,287.0,0.72,3510203,696,RA de Itapeva,Demais municípios,4.7
Batatais,131,58450,224.0,0.76,3505906,695,RA de Franca,RM de Ribeirao Preto,4.6
Pederneiras,129,45053,286.0,0.73,3536703,688,RA de Bauru,Demais municípios,4.1
Monte Alto,128,47528,269.0,0.76,3531308,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.8
Orlândia,126,38076,331.0,0.78,3534302,695,RA de Franca,RM de Ribeirao Preto,4.8
Promissão,124,34971,355.0,0.74,3541604,688,RA de Bauru,Demais municípios,3.7
São Lourenço da Serra,124,16185,766.0,0.72,3549953,681,RM  de São Paulo,RM de Sao Paulo,4.8
Conchal,121,28242,428.0,0.7,3512209,686,RA de Campinas,RM de Piracicaba,4.9
Novo Horizonte,120,38391,313.0,0.75,3533502,689,RA de São José do Rio Preto,Demais municípios,4.9
Presidente Epitácio,119,39223,303.0,0.75,3541307,691,RA de Presidente Prudente,Demais municípios,4.4
São Pedro,118,2774,4254.0,0.75,3550407,686,RA de Campinas,RM de Piracicaba,5.0
Capivari,117,50100,234.0,0.75,3510401,686,RA de Campinas,RM de Piracicaba,5.1
Ilhabela,115,35371,325.0,0.75,3520400,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.4
Ituverava,113,37426,302.0,0.76,3524105,695,RA de Franca,Demais municípios,4.7
Cravinhos,110,33273,331.0,0.75,3513108,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.2
Juquiá,107,16954,631.0,0.7,3526100,682,RA de Registro,Demais municípios,4.2
